vehicle_id,vehicle_type
1235,Torrot
1056,Torrot
900,Schwalbe
1110,Schwalbe
963,Schwalbe
1449,Schwalbe
1160,Schwalbe
833,Schwalbe
844,Torrot
1180,Schwalbe
942,Torrot
725,Schwalbe
1291,Schwalbe
1334,Schwalbe
1340,Schwalbe
1341,Schwalbe
934,Schwalbe
989,Schwalbe
813,Schwalbe
1462,Schwalbe
1059,Torrot
1017,Schwalbe
1282,Torrot
1359,Schwalbe
1046,Schwalbe
818,Schwalbe
1020,Schwalbe
930,Schwalbe
830,Schwalbe
835,Schwalbe
891,Schwalbe
1179,Torrot
1037,Schwalbe
1121,Schwalbe
822,Schwalbe
1175,Schwalbe
821,Schwalbe
1013,Schwalbe
885,Schwalbe
1118,Schwalbe
966,Torrot
715,Schwalbe
990,Schwalbe
1039,Torrot
676,Torrot
828,Schwalbe
826,Torrot
749,Schwalbe
1029,Schwalbe
703,Schwalbe
856,Torrot
979,Schwalbe
890,Torrot
778,Schwalbe
834,Schwalbe
1234,Schwalbe
1058,Schwalbe
971,Schwalbe
671,Schwalbe
1062,Schwalbe
967,Schwalbe
575,Torrot
1348,Torrot
1036,Schwalbe
1189,Torrot
1022,Torrot
1101,Torrot
857,Torrot
1212,Schwalbe
996,Schwalbe
1171,Schwalbe
1127,Schwalbe
1000,Schwalbe
1038,Schwalbe
925,Schwalbe
811,Schwalbe
741,Schwalbe
871,Schwalbe
1128,Schwalbe
1343,Schwalbe
1229,Torrot
1131,Torrot
1007,Schwalbe
785,Torrot
1129,Schwalbe
954,Torrot
994,Torrot
978,Schwalbe
456,Schwalbe
1081,Torrot
1001,Schwalbe
1347,Schwalbe
794,Torrot
838,Torrot
1275,Torrot
140,Schwalbe
1454,Schwalbe
1236,Schwalbe
829,Torrot
940,Schwalbe
712,Schwalbe
808,Schwalbe
902,Schwalbe
1225,Torrot
944,Schwalbe
1472,Schwalbe
1419,Schwalbe
903,Schwalbe
542,Schwalbe
582,Schwalbe
1385,Schwalbe
